city,temp_max,humidity,cloudiness,url,lat,lon,date,wind_speed,country
upernavik,18.16,84,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=upernavik,72.79,-56.15,1603815978,6.93,GL
karratha,69.93,87,22,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=karratha,-20.74,116.85,1603815978,7.61,AU
saint-pierre,77.0,69,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=saint-pierre,-21.34,55.48,1603815978,2.24,RE
lebu,53.58,63,18,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=lebu,-37.62,-73.65,1603815764,9.19,CL
enzan,57.0,86,71,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=enzan,35.7,138.73,1603815978,1.72,JP
le port,75.2,64,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=le port,-20.94,55.29,1603815978,5.82,RE
dawei,75.69,88,91,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=dawei,14.08,98.2,1603815776,2.3,MM
longyearbyen,32.0,94,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=longyearbyen,78.22,15.64,1603815790,11.41,SJ
santa rosa,81.0,83,40,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=santa rosa,14.31,121.11,1603815861,1.12,PH
norman wells,21.2,92,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=norman wells,65.28,-126.83,1603815978,11.41,CA
luena,77.0,61,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=luena,-11.78,19.92,1603815978,9.17,AO
ouadda,78.28,65,29,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=ouadda,8.08,22.4,1603815979,2.48,CF
altar,52.0,31,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=altar,30.7,-111.82,1603815979,1.43,MX
ambilobe,77.41,75,59,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=ambilobe,-13.2,49.05,1603815823,2.64,MG
tongzi,62.08,90,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=tongzi,28.78,105.09,1603815979,1.39,CN
mayor pablo lagerenza,94.01,29,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=mayor pablo lagerenza,-19.93,-60.77,1603815979,4.99,PY
kloulklubed,75.2,94,40,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kloulklubed,7.04,134.26,1603815979,4.03,PW
west wendover,37.4,32,1,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=west wendover,40.74,-114.07,1603815979,3.36,US
russell,73.4,88,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=russell,32.35,-85.2,1603815979,8.05,US
lojt kirkeby,50.0,87,40,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=lojt kirkeby,55.08,9.47,1603815979,12.75,DK
xining,32.76,91,86,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=xining,36.62,101.77,1603815979,1.66,CN
freetown,82.96,74,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=freetown,8.48,-13.23,1603815979,8.3,SL
billings,32.0,50,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=billings,45.78,-108.5,1603815832,28.86,US
ewa beach,75.2,88,1,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=ewa beach,21.32,-158.01,1603815980,3.36,US
rawson,65.37,26,51,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=rawson,-43.3,-65.1,1603815885,16.73,AR
ekibastuz,35.01,80,80,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=ekibastuz,51.67,75.37,1603815909,16.98,KZ
dubai,84.2,42,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=dubai,25.26,55.3,1603815980,5.82,AE
vihari,74.91,19,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=vihari,30.03,72.35,1603815980,7.02,PK
qaanaaq,8.28,78,81,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=qaanaaq,77.48,-69.36,1603815980,11.83,GL
hasaki,55.4,87,20,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=hasaki,35.73,140.83,1603815980,9.17,JP
cabo san lucas,81.0,69,5,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=cabo san lucas,22.89,-109.91,1603815714,6.44,MX
riyadh,75.2,33,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=riyadh,24.69,46.72,1603815921,7.09,SA
sosva,18.64,97,48,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=sosva,59.18,61.86,1603815980,4.56,RU
bandarbeyla,76.93,75,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=bandarbeyla,9.49,50.81,1603815980,13.85,SO
manokwari,80.04,76,84,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=manokwari,-0.87,134.08,1603815980,3.91,ID
inhambane,78.8,69,20,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=inhambane,-23.86,35.38,1603815820,10.29,MZ
shingu,54.88,71,1,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=shingu,33.73,135.98,1603815980,5.41,JP
matelandia,78.8,50,20,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=matelandia,-25.24,-54.0,1603815981,3.36,BR
yulara,68.0,24,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=yulara,-25.24,130.99,1603815981,6.93,AU
vardo,35.6,84,40,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=vardo,70.37,31.11,1603815981,27.51,NO
